Order No,Movie Name,Movie Year,Movie Content URL,Movie Image URL,Movie Discription,Directors,Stars
1,Doctor Strange in the Multiverse of Madness,2022,/title/tt9419884/,"https://m.media-amazon.com/images/M/MV5BNWM0ZGJlMzMtZmYwMi00NzI3LTgzMzMtNjMzNjliNDRmZmFlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg","
Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",Sam Raimi,"Benedict Cumberbatch, 
Elizabeth Olsen, 
Chiwetel Ejiofor, 
Benedict Wong"
2,Avatar: The Way of Water,2022,/title/tt1630029/,"https://m.media-amazon.com/images/M/MV5BMWFmYmRiYzMtMTQ4YS00NjA5LTliYTgtMmM3OTc4OGY3MTFkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY98_CR5,0,67,98_AL_.jpg","
Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet.",James Cameron,"Zoe Saldana, 
Michelle Yeoh, 
Sam Worthington, 
Kate Winslet"
3,The Northman,2022,/title/tt11138512/,"https://m.media-amazon.com/images/M/MV5BMzVlMmY2NTctODgwOC00NDMzLWEzMWYtM2RiYmIyNTNhMTI0XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_UX67_CR0,0,67,98_AL_.jpg","
From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.",Robert Eggers,"Alexander Skarsgård, 
Nicole Kidman, 
Claes Bang, 
Ethan Hawke"
4,The Batman,2022,/title/tt1877830/,"https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@._V1_UX67_CR0,0,67,98_AL_.jpg","
When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,"Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell"
5,The Lost City,2022,/title/tt13320622/,"https://m.media-amazon.com/images/M/MV5BMmIwYzFhODAtY2I1YS00ZDdmLTkyYWQtZjI5NDIwMDc2MjEyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","
A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.","Aaron Nee, 
Adam Nee","Sandra Bullock, 
Channing Tatum, 
Daniel Radcliffe, 
Da'Vine Joy Randolph"
6,Everything Everywhere All at Once,2022,/title/tt6710474/,"https://m.media-amazon.com/images/M/MV5BYTdiOTIyZTQtNmQ1OS00NjZlLWIyMTgtYzk5Y2M3ZDVmMDk1XkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_UY98_CR0,0,67,98_AL_.jpg","
An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.","Dan Kwan, 
Daniel Scheinert","Michelle Yeoh, 
Stephanie Hsu, 
Ke Huy Quan, 
James Hong"
7,Top Gun: Maverick,2022,/title/tt1745960/,"https://m.media-amazon.com/images/M/MV5BMmIwZDMyYWUtNTU0ZS00ODJhLTg2ZmEtMTk5ZmYzODcxODYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg","
After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",Joseph Kosinski,"Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Monica Barbaro"
8,Firestarter,2022,/title/tt1798632/,"https://m.media-amazon.com/images/M/MV5BMWIzNzA4MmUtYTIzNy00Y2Q5LWIyM2YtZGRiYzM0ZWQzOTU2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","
A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.",Keith Thomas,"Zac Efron, 
Ryan Kiera Armstrong, 
Sydney Lemmon, 
Michael Greyeyes"
9,Senior Year,2022,/title/tt5315212/,"https://m.media-amazon.com/images/M/MV5BNDUyYTM0ODYtYzIyMy00OTM2LWFmOTAtMTFlODQwN2NlYjY1XkEyXkFqcGdeQXVyNTk5NTQzNDI@._V1_UY98_CR5,0,67,98_AL_.jpg","
A cheerleading stunt gone wrong landed her in a 20-year coma. Now she's 37, newly awake and ready to live out her high school dream: becoming prom queen.",Alex Hardcastle,"Rebel Wilson, 
Angourie Rice, 
Mary Holland, 
Molly Brown"
10,365 Days: This Day,2022,/title/tt12996154/,"https://m.media-amazon.com/images/M/MV5BYjY2NzUxNjgtNjJhNy00NTA4LTlmNzItYzQ4MDdjNWYxZjkwXkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_UY98_CR0,0,67,98_AL_.jpg","
Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.","Barbara Bialowas, 
Tomasz Mandes","Anna-Maria Sieklucka, 
Michele Morrone, 
Simone Susinna, 
Magdalena Lamparska"
